layer,shape,max_absolute_error,mean_absolute_error
classifier.gelu,1x64,4.172325134277344e-07,6.780828698538244e-08
classifier.layer_norm,1x64,1.430511474609375e-06,2.2741733118891716e-07
classifier.linear_1,1x64,4.76837158203125e-07,1.1478550732135773e-07
classifier.logits,1x2,5.960464477539062e-07,4.76837158203125e-07
clinical_encoder.continuous_gelu,1x16,4.470348358154297e-08,1.2048985809087753e-08
clinical_encoder.continuous_layer_norm,1x16,3.5762786865234375e-07,9.150244295597076e-08
clinical_encoder.continuous_linear,1x16,0.0,0.0
clinical_encoder.output,1x128,1.1920928955078125e-06,2.0638253772631288e-07
clinical_encoder.projection_gelu_1,1x64,2.384185791015625e-07,4.927278496325016e-08
clinical_encoder.projection_gelu_2,1x128,3.5762786865234375e-07,6.24214635536191e-08
clinical_encoder.projection_layer_norm_1,1x64,5.364418029785156e-07,1.229600457008928e-07
clinical_encoder.projection_linear_1,1x64,2.384185791015625e-07,7.415656000375748e-08
clinical_encoder.projection_linear_2,1x128,3.5762786865234375e-07,1.0320218279957771e-07
cross_attention.attended,1x1x128,2.682209014892578e-07,8.921779226511717e-08
cross_attention.output,1x1x128,8.195638656616211e-07,1.7374259186908603e-07
cross_attention.weights,1x1x5,1.4901161193847656e-08,4.470348535789981e-09
path_encoder.gelu_1,1x256,1.9073486328125e-06,1.8945394231195678e-07
path_encoder.gelu_2,1x128,2.980232238769531e-07,5.6097633205354214e-08
path_encoder.layer_norm_1,1x256,9.5367431640625e-07,9.889117791317403e-08
path_encoder.layer_norm_2,1x128,7.152557373046875e-07,1.439038896933198e-07
path_encoder.linear_1,1x256,1.9073486328125e-06,3.5460107028484344e-07
path_encoder.linear_2,1x128,3.5762786865234375e-07,8.445931598544121e-08
